"url","Newimgsmall image","Newimgsmall image_alt","Productpadding link","Productpadding link_link","Prodimg image","Prodimg image_alt","Prodimg image_link","Prodname value","Prodname value_link","Prodpricefamily price","Prodpricefamily price_link","Prodprice price","Prodprice price_link","Proddimension descriptions","Buyonline label","Buyonline label_link","Savetolist label","Savetolist label_link"
"http://www.ikea.com/us/en/search/?query=chair","","","HENRIKSDAL \n Chair \n \n IKEA FAMILY member price \n \n $119.20 \n Unit price \n \n \n Oct 25, 2016 -\nNov 14, 2016 While supplies last in participating US stores. \n \n \nRegular price\n $149.00 \n Unit price","http://www.ikea.com/us/en/catalog/products/50309681/","http://www.ikea.com/PIAimages/0105965_PE253735_S2.JPG","HENRIKSDAL Chair Tested for: 243 lb Width: 21 1/4 "" Depth: 22 7/8 "" Tested for: 110 kg Width: 54 cm Depth: 58 cm","http://www.ikea.com/us/en/catalog/products/50309681/","HENRIKSDAL","http://www.ikea.com/us/en/catalog/products/50309681/","$119.20","http://www.ikea.com/us/en/catalog/products/50309681/","$149.00","http://www.ikea.com/us/en/catalog/products/50309681/","Tested for: 243 lb; Width: 21 1/4 ""; Depth: 22 7/8 ""; Tested for: 110 kg; Width: 54 cm; Depth: 58 cm","Buy online","","Save to list",""
"http://www.ikea.com/us/en/search/?query=chair","","","ADDE \n Chair \n $12.50 \n Unit price","http://www.ikea.com/us/en/catalog/products/10219178/","http://www.ikea.com/PIAimages/0174114_PE328020_S2.JPG","ADDE Chair Tested for: 243 lb Width: 15 3/8 "" Depth: 18 1/2 "" Tested for: 110 kg Width: 39 cm Depth: 47 cm","http://www.ikea.com/us/en/catalog/products/10219178/","ADDE","http://www.ikea.com/us/en/catalog/products/10219178/","","","$12.50","http://www.ikea.com/us/en/catalog/products/10219178/","Tested for: 243 lb; Width: 15 3/8 ""; Depth: 18 1/2 ""; Tested for: 110 kg; Width: 39 cm; Depth: 47 cm","Buy online","","Save to list",""
"http://www.ikea.com/us/en/search/?query=chair","","","BERNHARD \n Chair \n $159.00 \n Unit price","http://www.ikea.com/us/en/catalog/products/80153070/","http://www.ikea.com/PIAimages/0094409_PE232293_S2.JPG","BERNHARD Chair Tested for: 243 lb Width: 19 1/4 "" Depth: 19 5/8 "" Tested for: 110 kg Width: 49 cm Depth: 50 cm","http://www.ikea.com/us/en/catalog/products/80153070/","BERNHARD","http://www.ikea.com/us/en/catalog/products/80153070/","","","$159.00","http://www.ikea.com/us/en/catalog/products/80153070/","Tested for: 243 lb; Width: 19 1/4 ""; Depth: 19 5/8 ""; Tested for: 110 kg; Width: 49 cm; Depth: 50 cm","Buy online","","Save to list",""
"http://www.ikea.com/us/en/search/?query=chair","","","KAUSTBY \n Chair \n $49.00 \n Unit price","http://www.ikea.com/us/en/catalog/products/10242838/","http://www.ikea.com/PIAimages/0173549_PE327684_S2.JPG","KAUSTBY Chair Tested for: 243 lb Width: 19 7/8 "" Depth: 18 7/8 "" Tested for: 110 kg Width: 50.5 cm Depth: 48.1 cm","http://www.ikea.com/us/en/catalog/products/10242838/","KAUSTBY","http://www.ikea.com/us/en/catalog/products/10242838/","","","$49.00","http://www.ikea.com/us/en/catalog/products/10242838/","Tested for: 243 lb; Width: 19 7/8 ""; Depth: 18 7/8 ""; Tested for: 110 kg; Width: 50.5 cm; Depth: 48.1 cm","Buy online","","Save to list",""
"http://www.ikea.com/us/en/search/?query=chair","","","STRANDMON \n Wing chair \n $279.00 \n Unit price","http://www.ikea.com/us/en/catalog/products/10300423/","http://www.ikea.com/PIAimages/0325432_PE517964_S2.JPG","STRANDMON Wing chair Width: 32 1/4 "" Depth: 37 3/4 "" Seat width: 19 1/4 "" Width: 82 cm Depth: 96 cm Seat width: 49 cm","http://www.ikea.com/us/en/catalog/products/10300423/","STRANDMON","http://www.ikea.com/us/en/catalog/products/10300423/","","","$279.00","http://www.ikea.com/us/en/catalog/products/10300423/","Width: 32 1/4 ""; Depth: 37 3/4 ""; Seat width: 19 1/4 ""; Width: 82 cm; Depth: 96 cm; Seat width: 49 cm","Buy online","","Save to list",""
"http://www.ikea.com/us/en/search/?query=chair","","","BJURSTA / HENRIKSDAL \n Table and 6 chairs \n \n IKEA FAMILY member price \n \n $964.20 \n Unit price \n \n \n Oct 25, 2016 -\nNov 14, 2016 While supplies last in participating US stores. \n \n \nRegular price\n $1,143.00 \n Unit price","http://www.ikea.com/us/en/catalog/products/S99129669/","http://www.ikea.com/PIAimages/0161444_PE316303_S2.JPG","BJURSTA / HENRIKSDAL Table and 6 chairs Length: 85 7/8 "" Min. length: 68 7/8 "" Max. length: 102 3/8 "" Length: 218 cm Min. length: 175 cm Max. length: 260 cm","http://www.ikea.com/us/en/catalog/products/S99129669/","BJURSTA / HENRIKSDAL","http://www.ikea.com/us/en/catalog/products/S99129669/","$964.20","http://www.ikea.com/us/en/catalog/products/S99129669/","$1,143.00","http://www.ikea.com/us/en/catalog/products/S99129669/","Length: 85 7/8 ""; Min. length: 68 7/8 ""; Max. length: 102 3/8 ""; Length: 218 cm; Min. length: 175 cm; Max. length: 260 cm","Buy online","","Save to list",""
"http://www.ikea.com/us/en/search/?query=chair","","","VILMAR \n Chair \n $39.00 \n Unit price","http://www.ikea.com/us/en/catalog/products/S79889750/","http://www.ikea.com/PIAimages/0125493_PE283073_S2.JPG","VILMAR Chair Tested for: 243 lb Width: 20 1/2 "" Depth: 21 5/8 "" Tested for: 110 kg Width: 52 cm Depth: 55 cm","http://www.ikea.com/us/en/catalog/products/S79889750/","VILMAR","http://www.ikea.com/us/en/catalog/products/S79889750/","","","$39.00","http://www.ikea.com/us/en/catalog/products/S79889750/","Tested for: 243 lb; Width: 20 1/2 ""; Depth: 21 5/8 ""; Tested for: 110 kg; Width: 52 cm; Depth: 55 cm","Buy online","","Save to list",""
"http://www.ikea.com/us/en/search/?query=chair","","","STORNÄS / HENRIKSDAL \n Table and 6 chairs \n \n IKEA FAMILY member price \n \n $924.20 \n Unit price \n \n \n Oct 25, 2016 -\nNov 14, 2016 While supplies last in participating US stores. \n \n \nRegular price\n $1,043.00 \n Unit price","http://www.ikea.com/us/en/catalog/products/S79917338/","http://www.ikea.com/PIAimages/0161446_PE316305_S2.JPG","STORNÄS / HENRIKSDAL Table and 6 chairs Length: 97 1/4 "" Min. length: 79 1/8 "" Max. length: 115 3/8 "" Length: 247 cm Min. length: 201 cm Max. length: 293 cm","http://www.ikea.com/us/en/catalog/products/S79917338/","STORNÄS / HENRIKSDAL","http://www.ikea.com/us/en/catalog/products/S79917338/","$924.20","http://www.ikea.com/us/en/catalog/products/S79917338/","$1,043.00","http://www.ikea.com/us/en/catalog/products/S79917338/","Length: 97 1/4 ""; Min. length: 79 1/8 ""; Max. length: 115 3/8 ""; Length: 247 cm; Min. length: 201 cm; Max. length: 293 cm","Buy online","","Save to list",""
"http://www.ikea.com/us/en/search/?query=chair","","","EKTORP \n Chair \n $319.00 \n Unit price","http://www.ikea.com/us/en/catalog/products/S29164897/","http://www.ikea.com/PIAimages/0386189_PE559140_S2.JPG","EKTORP Chair Width: 41 "" Depth: 34 5/8 "" Seat depth: 21 1/4 "" Width: 104 cm Depth: 88 cm Seat depth: 54 cm","http://www.ikea.com/us/en/catalog/products/S29164897/","EKTORP","http://www.ikea.com/us/en/catalog/products/S29164897/","","","$319.00","http://www.ikea.com/us/en/catalog/products/S29164897/","Width: 41 ""; Depth: 34 5/8 ""; Seat depth: 21 1/4 ""; Width: 104 cm; Depth: 88 cm; Seat depth: 54 cm","Buy online","","Save to list",""
"http://www.ikea.com/us/en/search/?query=chair","","","MARKUS \n Swivel chair \n $179.00 \n Unit price","http://www.ikea.com/us/en/catalog/products/90289172/","http://www.ikea.com/PIAimages/0324506_PE517017_S2.JPG","MARKUS Swivel chair Tested for: 242 lb 8 oz Width: 24 3/8 "" Depth: 23 5/8 "" Tested for: 110 kg Width: 62 cm Depth: 60 cm","http://www.ikea.com/us/en/catalog/products/90289172/","MARKUS","http://www.ikea.com/us/en/catalog/products/90289172/","","","$179.00","http://www.ikea.com/us/en/catalog/products/90289172/","Tested for: 242 lb 8 oz; Width: 24 3/8 ""; Depth: 23 5/8 ""; Tested for: 110 kg; Width: 62 cm; Depth: 60 cm","Buy online","","Save to list",""
"http://www.ikea.com/us/en/search/?query=chair","","","INGOLF \n Chair \n $49.00 \n Unit price","http://www.ikea.com/us/en/catalog/products/70103250/","http://www.ikea.com/PIAimages/0454095_PE602593_S2.JPG","INGOLF Chair Tested for: 243 lb Width: 16 7/8 "" Depth: 20 1/2 "" Tested for: 110 kg Width: 43 cm Depth: 52 cm","http://www.ikea.com/us/en/catalog/products/70103250/","INGOLF","http://www.ikea.com/us/en/catalog/products/70103250/","","","$49.00","http://www.ikea.com/us/en/catalog/products/70103250/","Tested for: 243 lb; Width: 16 7/8 ""; Depth: 20 1/2 ""; Tested for: 110 kg; Width: 43 cm; Depth: 52 cm","Buy online","","Save to list",""
"http://www.ikea.com/us/en/search/?query=chair","","","TOBIAS \n Chair \n $79.00 \n Unit price","http://www.ikea.com/us/en/catalog/products/20115038/","http://www.ikea.com/PIAimages/74048_PE190789_S2.JPG","TOBIAS Chair Tested for: 243 lb Width: 21 5/8 "" Depth: 22 "" Tested for: 110 kg Width: 55 cm Depth: 56 cm","http://www.ikea.com/us/en/catalog/products/20115038/","TOBIAS","http://www.ikea.com/us/en/catalog/products/20115038/","","","$79.00","http://www.ikea.com/us/en/catalog/products/20115038/","Tested for: 243 lb; Width: 21 5/8 ""; Depth: 22 ""; Tested for: 110 kg; Width: 55 cm; Depth: 56 cm","Buy online","","Save to list",""
"http://www.ikea.com/us/en/search/?query=chair","","","LÅNGFJÄLL \n Swivel chair \n $159.00 \n Unit price","http://www.ikea.com/us/en/catalog/products/S59177577/","http://www.ikea.com/PIAimages/0460445_PE606793_S2.JPG","LÅNGFJÄLL Swivel chair Tested for: 243 lb Width: 26 3/4 "" Depth: 26 3/4 "" Tested for: 110 kg Width: 68 cm Depth: 68 cm","http://www.ikea.com/us/en/catalog/products/S59177577/","LÅNGFJÄLL","http://www.ikea.com/us/en/catalog/products/S59177577/","","","$159.00","http://www.ikea.com/us/en/catalog/products/S59177577/","Tested for: 243 lb; Width: 26 3/4 ""; Depth: 26 3/4 ""; Tested for: 110 kg; Width: 68 cm; Depth: 68 cm","Buy online","","Save to list",""
"http://www.ikea.com/us/en/search/?query=chair","","","INGOLF \n Chair \n $49.00 \n Unit price","http://www.ikea.com/us/en/catalog/products/60217822/","http://www.ikea.com/PIAimages/0355482_PE547815_S2.JPG","INGOLF Chair Tested for: 243 lb Width: 16 7/8 "" Depth: 20 1/2 "" Tested for: 110 kg Width: 43 cm Depth: 52 cm","http://www.ikea.com/us/en/catalog/products/60217822/","INGOLF","http://www.ikea.com/us/en/catalog/products/60217822/","","","$49.00","http://www.ikea.com/us/en/catalog/products/60217822/","Tested for: 243 lb; Width: 16 7/8 ""; Depth: 20 1/2 ""; Tested for: 110 kg; Width: 43 cm; Depth: 52 cm","Buy online","","Save to list",""
"http://www.ikea.com/us/en/search/?query=chair","","","LERHAMN \n Table and 4 chairs \n $239.00 \n Unit price","http://www.ikea.com/us/en/catalog/products/S59007170/","http://www.ikea.com/PIAimages/0247203_PE386035_S2.JPG","LERHAMN Table and 4 chairs Length: 46 1/2 "" Width: 29 1/8 "" Height: 28 3/4 "" Length: 118 cm Width: 74 cm Height: 73 cm","http://www.ikea.com/us/en/catalog/products/S59007170/","LERHAMN","http://www.ikea.com/us/en/catalog/products/S59007170/","","","$239.00","http://www.ikea.com/us/en/catalog/products/S59007170/","Length: 46 1/2 ""; Width: 29 1/8 ""; Height: 28 3/4 ""; Length: 118 cm; Width: 74 cm; Height: 73 cm","Buy online","","Save to list",""
"http://www.ikea.com/us/en/search/?query=chair","","","LEIFARNE \n Chair \n $39.00 \n Unit price","http://www.ikea.com/us/en/catalog/products/S79127807/","http://www.ikea.com/PIAimages/0376675_PE553888_S2.JPG","LEIFARNE Chair Tested for: 243 lb Width: 20 1/2 "" Depth: 19 5/8 "" Tested for: 110 kg Width: 52 cm Depth: 50 cm","http://www.ikea.com/us/en/catalog/products/S79127807/","LEIFARNE","http://www.ikea.com/us/en/catalog/products/S79127807/","","","$39.00","http://www.ikea.com/us/en/catalog/products/S79127807/","Tested for: 243 lb; Width: 20 1/2 ""; Depth: 19 5/8 ""; Tested for: 110 kg; Width: 52 cm; Depth: 50 cm","Buy online","","Save to list",""
"http://www.ikea.com/us/en/search/?query=chair","","","BJURSTA / HENRIKSDAL \n Table and 6 chairs \n \n IKEA FAMILY member price \n \n $580.20 \n Unit price \n \n \n Oct 25, 2016 -\nNov 14, 2016 While supplies last in participating US stores. \n \n \nRegular price\n $663.00 \n Unit price","http://www.ikea.com/us/en/catalog/products/S89197668/","http://www.ikea.com/PIAimages/0159714_PE316049_S2.JPG","BJURSTA / HENRIKSDAL Table and 6 chairs Length: 85 7/8 "" Min. length: 68 7/8 "" Max. length: 102 3/8 "" Length: 218 cm Min. length: 175 cm Max. length: 260 cm","http://www.ikea.com/us/en/catalog/products/S89197668/","BJURSTA / HENRIKSDAL","http://www.ikea.com/us/en/catalog/products/S89197668/","$580.20","http://www.ikea.com/us/en/catalog/products/S89197668/","$663.00","http://www.ikea.com/us/en/catalog/products/S89197668/","Length: 85 7/8 ""; Min. length: 68 7/8 ""; Max. length: 102 3/8 ""; Length: 218 cm; Min. length: 175 cm; Max. length: 260 cm","Buy online","","Save to list",""
"http://www.ikea.com/us/en/search/?query=chair","","","BERNHARD \n Chair \n $159.00 \n Unit price","http://www.ikea.com/us/en/catalog/products/50163805/","http://www.ikea.com/PIAimages/0094408_PE232292_S2.JPG","BERNHARD Chair Tested for: 243 lb Width: 19 1/4 "" Depth: 19 5/8 "" Tested for: 110 kg Width: 49 cm Depth: 50 cm","http://www.ikea.com/us/en/catalog/products/50163805/","BERNHARD","http://www.ikea.com/us/en/catalog/products/50163805/","","","$159.00","http://www.ikea.com/us/en/catalog/products/50163805/","Tested for: 243 lb; Width: 19 1/4 ""; Depth: 19 5/8 ""; Tested for: 110 kg; Width: 49 cm; Depth: 50 cm","Buy online","","Save to list",""
"http://www.ikea.com/us/en/search/?query=chair","","","SNILLE \n Swivel chair \n $19.99 \n Unit price","http://www.ikea.com/us/en/catalog/products/S79046260/","http://www.ikea.com/PIAimages/0287229_PE423571_S2.JPG","SNILLE Swivel chair Tested for: 243 lb Width: 26 3/8 "" Depth: 26 3/8 "" Tested for: 110 kg Width: 67 cm Depth: 67 cm","http://www.ikea.com/us/en/catalog/products/S79046260/","SNILLE","http://www.ikea.com/us/en/catalog/products/S79046260/","","","$19.99","http://www.ikea.com/us/en/catalog/products/S79046260/","Tested for: 243 lb; Width: 26 3/8 ""; Depth: 26 3/8 ""; Tested for: 110 kg; Width: 67 cm; Depth: 67 cm","Buy online","","Save to list",""
"http://www.ikea.com/us/en/search/?query=chair","","","DOCKSTA / TOBIAS \n Table and 4 chairs \n $495.00 \n Unit price","http://www.ikea.com/us/en/catalog/products/S39885711/","http://www.ikea.com/PIAimages/0123737_PE279862_S2.JPG","DOCKSTA / TOBIAS Table and 4 chairs Diameter: 41 3/8 "" Height: 29 3/8 "" Diameter: 105 cm Height: 75 cm","http://www.ikea.com/us/en/catalog/products/S39885711/","DOCKSTA / TOBIAS","http://www.ikea.com/us/en/catalog/products/S39885711/","","","$495.00","http://www.ikea.com/us/en/catalog/products/S39885711/","Diameter: 41 3/8 ""; Height: 29 3/8 ""; Diameter: 105 cm; Height: 75 cm","Buy online","","Save to list",""
"http://www.ikea.com/us/en/search/?query=chair","","","POÄNG \n Chair \n $159.00 \n Unit price","http://www.ikea.com/us/en/catalog/products/S79903930/","http://www.ikea.com/PIAimages/22268_PE107124_S2.JPG","POÄNG Chair Width: 26 3/4 "" Depth: 32 1/4 "" Seat width: 22 "" Width: 68 cm Depth: 82 cm Seat width: 56 cm","http://www.ikea.com/us/en/catalog/products/S79903930/","POÄNG","http://www.ikea.com/us/en/catalog/products/S79903930/","","","$159.00","http://www.ikea.com/us/en/catalog/products/S79903930/","Width: 26 3/4 ""; Depth: 32 1/4 ""; Seat width: 22 ""; Width: 68 cm; Depth: 82 cm; Seat width: 56 cm","Buy online","","Save to list",""
"http://www.ikea.com/us/en/search/?query=chair","","","EKERÖ \n Chair \n $139.00 \n Unit price","http://www.ikea.com/us/en/catalog/products/40262877/","http://www.ikea.com/PIAimages/0204749_PE359788_S2.JPG","EKERÖ Chair Width: 27 1/2 "" Depth: 28 3/4 "" Seat width: 22 1/2 "" Width: 70 cm Depth: 73 cm Seat width: 57 cm","http://www.ikea.com/us/en/catalog/products/40262877/","EKERÖ","http://www.ikea.com/us/en/catalog/products/40262877/","","","$139.00","http://www.ikea.com/us/en/catalog/products/40262877/","Width: 27 1/2 ""; Depth: 28 3/4 ""; Seat width: 22 1/2 ""; Width: 70 cm; Depth: 73 cm; Seat width: 57 cm","Buy online","","Save to list",""
"http://www.ikea.com/us/en/search/?query=chair","","","STEFAN \n Chair \n $29.00 \n Unit price","http://www.ikea.com/us/en/catalog/products/00211088/","http://www.ikea.com/PIAimages/0122106_PE278491_S2.JPG","STEFAN Chair Tested for: 243 lb Width: 16 1/2 "" Depth: 19 1/4 "" Tested for: 110 kg Width: 42 cm Depth: 49 cm","http://www.ikea.com/us/en/catalog/products/00211088/","STEFAN","http://www.ikea.com/us/en/catalog/products/00211088/","","","$29.00","http://www.ikea.com/us/en/catalog/products/00211088/","Tested for: 243 lb; Width: 16 1/2 ""; Depth: 19 1/4 ""; Tested for: 110 kg; Width: 42 cm; Depth: 49 cm","Buy online","","Save to list",""
"http://www.ikea.com/us/en/search/?query=chair","","","RENBERGET \n Swivel chair \n $49.99 \n Unit price","http://www.ikea.com/us/en/catalog/products/50332238/","http://www.ikea.com/PIAimages/0427836_PE583126_S2.JPG","RENBERGET Swivel chair Tested for: 242 lb 8 oz Width: 23 1/4 "" Depth: 25 5/8 "" Tested for: 110 kg Width: 59 cm Depth: 65 cm","http://www.ikea.com/us/en/catalog/products/50332238/","RENBERGET","http://www.ikea.com/us/en/catalog/products/50332238/","","","$49.99","http://www.ikea.com/us/en/catalog/products/50332238/","Tested for: 242 lb 8 oz; Width: 23 1/4 ""; Depth: 25 5/8 ""; Tested for: 110 kg; Width: 59 cm; Depth: 65 cm","Buy online","","Save to list",""
"http://www.ikea.com/us/en/search/?query=chair","","","STOCKSUND \n Chair \n $349.00 \n Unit price","http://www.ikea.com/us/en/catalog/products/S29033585/","http://www.ikea.com/PIAimages/0378702_PE556246_S2.JPG","STOCKSUND Chair Width: 36 1/4 "" Depth: 37 3/8 "" Seat depth: 22 7/8 "" Width: 92 cm Depth: 95 cm Seat depth: 58 cm","http://www.ikea.com/us/en/catalog/products/S29033585/","STOCKSUND","http://www.ikea.com/us/en/catalog/products/S29033585/","","","$349.00","http://www.ikea.com/us/en/catalog/products/S29033585/","Width: 36 1/4 ""; Depth: 37 3/8 ""; Seat depth: 22 7/8 ""; Width: 92 cm; Depth: 95 cm; Seat depth: 58 cm","Buy online","","Save to list",""
